Date,Week,AwayTeam,HomeTeam,AwayScore,HomeScore,PointSpread,ForecastDescription,ForecastTempLow,ForecastWindSpeed,Home_PlayerCount,Home_TotalExperience,Home_AvgAge,Home_AvgHeightIN,Away_PlayerCount,Away_TotalExperience,Away_AvgAge,Away_AvgHeightIN,HomeWin,Home_Week,Home_Team,Home_Opponent,Home_TeamScore,Home_OpponentScore,Home_IsHome,Home_AvgPointsScored_Last5,Home_AvgPointsAllowed_Last5,Home_RollingPointDiff_Last5,Home_Win,Home_RollingWinRate_Last5,Away_Week,Away_Team,Away_Opponent,Away_TeamScore,Away_OpponentScore,Away_IsHome,Away_AvgPointsScored_Last5,Away_AvgPointsAllowed_Last5,Away_RollingPointDiff_Last5,Away_Win,Away_RollingWinRate_Last5,ExperienceDiff,AgeDiff,HeightDiff,PlayerCountDiff,RollingPointDiff_Last5,RollingWinRateDiff_Last5
2025-10-05T13:00:00,5,NYG,NO,23,43,-4.1,Broken Clouds,74,7,71,456,27,76,79,543,27,76,1,5,NO,NYG,43,23,1,27.5,50.0,-22.5,1,0.0,5,NYG,NO,23,43,0,31.75,41.75,-10.0,0,0.25,-87,0,0,-8,-12.5,-0.25
2025-10-05T13:00:00,5,DAL,NYJ,61,36,-2.5,Clear Sky,61,5,79,470,26,76,69,445,26,75,0,5,NYJ,DAL,36,61,1,37.5,49.75,-12.25,0,0.0,5,DAL,NYJ,61,36,0,47.0,54.5,-7.5,1,0.25,25,0,1,10,-4.75,-0.25
2025-10-05T13:00:00,5,DEN,PHI,35,28,-6.6,Clear Sky,60,4,68,477,27,77,66,462,27,77,0,5,PHI,DEN,28,35,1,44.75,36.25,8.5,0,1.0,5,DEN,PHI,35,28,0,39.5,28.5,11.0,1,0.5,15,0,0,2,-2.5,0.5
2025-10-05T16:05:00,5,TEN,ARI,36,35,-12.4,Clear Sky,72,4,83,534,27,77,72,459,27,77,0,5,ARI,TEN,35,36,1,34.0,30.75,3.25,0,0.5,5,TEN,ARI,36,35,0,21.0,49.75,-28.75,1,0.0,75,0,0,11,32.0,0.5
2025-10-05T16:05:00,5,TB,SEA,63,58,-5.8,Clear Sky,51,4,67,410,26,76,67,465,27,76,0,5,SEA,TB,58,63,1,46.0,27.75,18.25,0,0.75,5,TB,SEA,63,58,0,40.0,40.0,0.0,1,0.75,-55,-1,0,0,18.25,0.0
2025-10-05T16:25:00,5,DET,CIN,61,40,15.7,Clear Sky,62,4,66,413,27,76,76,545,27,77,0,5,CIN,DET,40,61,1,26.0,49.5,-23.5,0,0.5,5,DET,CIN,61,40,0,56.75,36.75,20.0,1,0.75,-132,0,-1,-10,-43.5,-0.25
2025-10-05T16:25:00,5,WAS,LAC,45,17,-5.0,Clear Sky,63,4,68,472,27,76,79,636,29,76,0,5,LAC,WAS,17,45,1,36.5,29.5,7.0,0,0.75,5,WAS,LAC,45,17,0,44.5,39.25,5.25,1,0.5,-164,-2,0,-11,1.75,0.25
2025-10-05T20:20:00,5,NE,BUF,38,33,-12.4,Clear Sky,61,8,74,580,28,77,66,406,26,76,0,5,BUF,NE,33,38,1,55.0,37.25,17.75,0,1.0,5,NE,BUF,38,33,0,42.5,33.75,8.75,1,0.5,174,2,1,8,9.0,0.5
2025-10-06T20:15:00,5,KC,JAX,46,51,9.6,Light Rain,75,6,64,443,27,76,73,467,26,77,1,5,JAX,KC,51,46,1,39.75,30.0,9.75,1,0.75,5,KC,JAX,46,51,0,40.0,31.5,8.5,0,0.5,-24,1,-1,-9,1.25,0.25
2025-10-09T20:15:00,6,PHI,NYG,28,56,12.4,Clear Sky,50,5,79,543,27,76,68,477,27,77,1,6,NYG,PHI,56,28,1,30.0,42.0,-12.0,1,0.2,6,PHI,NYG,28,56,0,41.4,36.0,5.399999999999999,0,0.8,66,0,-1,11,-17.4,-0.6000000000000001
